Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1774675435,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774675436,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774675437,4,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774675438,6,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774675439,8,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774675440,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774675441,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774675442,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774675443,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774675444,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1774675445,10,,Aggregated,0.000000,0.000000,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,1,0,9573.987349009258,9573.987349009258,9573.987349009258,9573.987349009258,1497.0
1774675446,10,,Aggregated,0.000000,0.000000,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,1,0,9573.987349009258,9573.987349009258,9573.987349009258,9573.987349009258,1497.0
1774675447,10,,Aggregated,0.000000,0.000000,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,1,0,9573.987349009258,9573.987349009258,9573.987349009258,9573.987349009258,1497.0
1774675448,10,,Aggregated,0.000000,0.000000,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,1,0,9573.987349009258,9573.987349009258,9573.987349009258,9573.987349009258,1497.0
1774675449,10,,Aggregated,0.000000,0.000000,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,1,0,9573.987349009258,9573.987349009258,9573.987349009258,9573.987349009258,1497.0
1774675450,10,,Aggregated,0.000000,0.000000,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,1,0,9573.987349009258,9573.987349009258,9573.987349009258,9573.987349009258,1497.0
1774675451,10,,Aggregated,0.000000,0.000000,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,1,0,9573.987349009258,9573.987349009258,9573.987349009258,9573.987349009258,1497.0
1774675452,10,,Aggregated,0.100000,0.000000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,2,0,9600.0,13016.970570504782,9573.987349009258,16459.953792000306,1470.5
1774675453,10,,Aggregated,0.100000,0.000000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,2,0,9600.0,13016.970570504782,9573.987349009258,16459.953792000306,1470.5
1774675454,10,,Aggregated,0.100000,0.000000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,2,0,9600.0,13016.970570504782,9573.987349009258,16459.953792000306,1470.5
1774675455,10,,Aggregated,0.100000,0.000000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,2,0,9600.0,13016.970570504782,9573.987349009258,16459.953792000306,1470.5
1774675456,10,,Aggregated,0.100000,0.000000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,2,0,9600.0,13016.970570504782,9573.987349009258,16459.953792000306,1470.5
1774675457,10,,Aggregated,0.100000,0.000000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,2,0,9600.0,13016.970570504782,9573.987349009258,16459.953792000306,1470.5
1774675458,10,,Aggregated,0.100000,0.000000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,2,0,9600.0,13016.970570504782,9573.987349009258,16459.953792000306,1470.5
1774675459,10,,Aggregated,0.100000,0.000000,16000,16000,22000,22000,22000,22000,22000,22000,22000,22000,22000,3,0,16000.0,16132.888902002984,9573.987349009258,22364.72556499939,1500.3333333333333
1774675460,10,,Aggregated,0.100000,0.000000,16000,16000,22000,22000,22000,22000,22000,22000,22000,22000,22000,3,0,16000.0,16132.888902002984,9573.987349009258,22364.72556499939,1500.3333333333333
1774675461,10,,Aggregated,0.100000,0.000000,16000,16000,22000,22000,22000,22000,22000,22000,22000,22000,22000,3,0,16000.0,16132.888902002984,9573.987349009258,22364.72556499939,1500.3333333333333
1774675462,10,,Aggregated,0.100000,0.000000,16000,16000,22000,22000,22000,22000,22000,22000,22000,22000,22000,3,0,16000.0,16132.888902002984,9573.987349009258,22364.72556499939,1500.3333333333333
1774675463,10,,Aggregated,0.100000,0.000000,16000,16000,22000,22000,22000,22000,22000,22000,22000,22000,22000,3,0,16000.0,16132.888902002984,9573.987349009258,22364.72556499939,1500.3333333333333
1774675464,10,,Aggregated,0.100000,0.000000,16000,16000,22000,22000,22000,22000,22000,22000,22000,22000,22000,3,0,16000.0,16132.888902002984,9573.987349009258,22364.72556499939,1500.3333333333333
1774675465,10,,Aggregated,0.100000,0.000000,16000,16000,22000,22000,22000,22000,22000,22000,22000,22000,22000,3,0,16000.0,16132.888902002984,9573.987349009258,22364.72556499939,1500.3333333333333
